run,final result,time,result,states
"('i_3_2_3_1_2_FR', 'U1D', 'MCTS', True)",1.16,0.354,"((0.59, 0.0), (1.52, 0.005), (1.52, 0.009), (1.98, 0.013), (1.98, 0.016), (1.98, 0.02), (1.98, 0.024), (1.98, 0.027), (1.98, 0.031), (1.98, 0.034), (1.98, 0.038), (1.98, 0.042), (1.98, 0.045), (1.98, 0.049), (1.16, 0.053), (1.16, 0.056), (1.16, 0.06), (1.16, 0.063), (1.16, 0.067), (1.16, 0.07), (1.16, 0.074), (1.16, 0.077), (1.16, 0.081), (1.16, 0.084), (1.16, 0.088), (1.16, 0.091), (1.16, 0.095), (1.16, 0.098), (1.16, 0.102), (1.16, 0.105), (1.16, 0.109), (1.16, 0.112), (1.16, 0.116), (1.16, 0.12), (1.16, 0.123), (1.16, 0.127), (1.16, 0.13), (1.16, 0.134), (1.16, 0.137), (1.16, 0.141), (1.16, 0.144), (1.16, 0.147), (1.16, 0.151), (1.16, 0.154), (1.16, 0.158), (1.16, 0.161), (1.16, 0.165), (1.16, 0.168), (1.16, 0.172), (1.16, 0.176), (1.16, 0.179), (1.16, 0.183), (1.16, 0.186), (1.16, 0.19), (1.16, 0.193), (1.16, 0.197), (1.16, 0.2), (1.16, 0.203), (1.16, 0.207), (1.16, 0.21), (1.16, 0.214), (1.16, 0.217), (1.16, 0.221), (1.16, 0.224), (1.16, 0.227), (1.16, 0.231), (1.16, 0.234), (1.16, 0.238), (1.16, 0.241), (1.16, 0.245), (1.16, 0.248), (1.16, 0.252), (1.16, 0.255), (1.16, 0.259), (1.16, 0.263), (1.16, 0.266), (1.16, 0.27), (1.16, 0.273), (1.16, 0.277), (1.16, 0.28), (1.16, 0.283), (1.16, 0.287), (1.16, 0.29), (1.16, 0.294), (1.16, 0.297), (1.16, 0.301), (1.16, 0.304), (1.16, 0.308), (1.16, 0.312), (1.16, 0.315), (1.16, 0.318), (1.16, 0.322), (1.16, 0.326), (1.16, 0.329), (1.16, 0.333), (1.16, 0.336), (1.16, 0.34), (1.16, 0.343), (1.16, 0.347), (1.16, 0.35), (1.16, 0.354))",46
"('i_3_2_3_1_2_FR', 'U1S', 'MCTS', True)",1.98,0.375,"((0.59, 0.001), (1.98, 0.011), (1.98, 0.014), (1.98, 0.018), (1.98, 0.021), (1.98, 0.025), (1.98, 0.029), (1.98, 0.033), (1.98, 0.037), (1.98, 0.04), (1.98, 0.044), (1.98, 0.048), (1.98, 0.052), (1.98, 0.056), (1.98, 0.059), (1.98, 0.063), (1.98, 0.067), (1.98, 0.071), (1.98, 0.074), (1.98, 0.078), (1.98, 0.082), (1.98, 0.085), (1.98, 0.089), (1.98, 0.093), (1.98, 0.096), (1.98, 0.1), (1.98, 0.104), (1.98, 0.107), (1.98, 0.111), (1.98, 0.114), (1.98, 0.118), (1.98, 0.122), (1.98, 0.126), (1.98, 0.13), (1.98, 0.133), (1.98, 0.137), (1.98, 0.141), (1.98, 0.144), (1.98, 0.148), (1.98, 0.152), (1.98, 0.156), (1.98, 0.159), (1.98, 0.163), (1.98, 0.167), (1.98, 0.17), (1.98, 0.174), (1.98, 0.177), (1.98, 0.181), (1.98, 0.185), (1.98, 0.188), (1.98, 0.192), (1.98, 0.196), (1.98, 0.199), (1.98, 0.203), (1.98, 0.206), (1.98, 0.21), (1.98, 0.214), (1.98, 0.217), (1.98, 0.221), (1.98, 0.224), (1.98, 0.228), (1.98, 0.232), (1.98, 0.236), (1.98, 0.239), (1.98, 0.243), (1.98, 0.247), (1.98, 0.25), (1.98, 0.254), (1.98, 0.258), (1.98, 0.261), (1.98, 0.265), (1.98, 0.269), (1.98, 0.272), (1.98, 0.276), (1.98, 0.28), (1.98, 0.283), (1.98, 0.287), (1.98, 0.29), (1.98, 0.294), (1.98, 0.298), (1.98, 0.301), (1.98, 0.304), (1.98, 0.308), (1.98, 0.312), (1.98, 0.316), (1.98, 0.319), (1.98, 0.323), (1.98, 0.327), (1.98, 0.33), (1.98, 0.334), (1.98, 0.338), (1.98, 0.342), (1.98, 0.345), (1.98, 0.349), (1.98, 0.353), (1.98, 0.357), (1.98, 0.36), (1.98, 0.364), (1.98, 0.368), (1.98, 0.372), (1.98, 0.375))",46
"('i_3_2_3_1_2_FR', 'U1S', 'BFS', True)",1.98,0.016395620999999805,"((1.98, 0.016395620999999805),)",46
"('i_3_2_3_1_2_FR', 'U1S', 'BNB', True)",0.59,0.004585394999999881,"((0.59, 0.004585394999999881),)",6
"('i_3_2_3_1_2_FR', 'U1S', 'BNBL', True)",1.98,0.01810542100000001,"((1.98, 0.01810542100000001),)",46
"('i_3_2_3_1_2_FR', 'U1D', 'MCTS', False)",1.16,0.332,"((0.59, 0.0), (1.98, 0.004), (1.98, 0.007), (1.98, 0.011), (1.98, 0.014), (1.98, 0.017), (1.98, 0.021), (1.98, 0.024), (1.16, 0.027), (1.16, 0.031), (1.16, 0.034), (1.16, 0.038), (1.16, 0.041), (1.16, 0.044), (1.16, 0.047), (1.16, 0.051), (1.16, 0.054), (1.16, 0.058), (1.16, 0.061), (1.16, 0.064), (1.16, 0.068), (1.16, 0.071), (1.16, 0.074), (1.16, 0.078), (1.16, 0.081), (1.16, 0.084), (1.16, 0.087), (1.16, 0.091), (1.16, 0.094), (1.16, 0.097), (1.16, 0.1), (1.16, 0.104), (1.16, 0.107), (1.16, 0.11), (1.16, 0.113), (1.16, 0.117), (1.16, 0.12), (1.16, 0.123), (1.16, 0.127), (1.16, 0.13), (1.16, 0.133), (1.16, 0.136), (1.16, 0.14), (1.16, 0.143), (1.16, 0.146), (1.16, 0.15), (1.16, 0.153), (1.16, 0.156), (1.16, 0.16), (1.16, 0.163), (1.16, 0.166), (1.16, 0.17), (1.16, 0.173), (1.16, 0.176), (1.16, 0.179), (1.16, 0.183), (1.16, 0.186), (1.16, 0.189), (1.16, 0.193), (1.16, 0.196), (1.16, 0.199), (1.16, 0.203), (1.16, 0.206), (1.16, 0.21), (1.16, 0.213), (1.16, 0.216), (1.16, 0.219), (1.16, 0.223), (1.16, 0.226), (1.16, 0.23), (1.16, 0.233), (1.16, 0.236), (1.16, 0.239), (1.16, 0.242), (1.16, 0.246), (1.16, 0.249), (1.16, 0.252), (1.16, 0.255), (1.16, 0.259), (1.16, 0.262), (1.16, 0.265), (1.16, 0.268), (1.16, 0.272), (1.16, 0.275), (1.16, 0.278), (1.16, 0.282), (1.16, 0.285), (1.16, 0.288), (1.16, 0.292), (1.16, 0.295), (1.16, 0.298), (1.16, 0.301), (1.16, 0.305), (1.16, 0.308), (1.16, 0.312), (1.16, 0.315), (1.16, 0.318), (1.16, 0.322), (1.16, 0.325), (1.16, 0.328), (1.16, 0.332))",13
"('i_3_2_3_1_2_FR', 'U1S', 'MCTS', False)",1.98,0.363,"((0.59, 0.001), (1.98, 0.007), (1.98, 0.011), (1.98, 0.014), (1.98, 0.018), (1.98, 0.021), (1.98, 0.025), (1.98, 0.029), (1.98, 0.032), (1.98, 0.035), (1.98, 0.039), (1.98, 0.042), (1.98, 0.046), (1.98, 0.05), (1.98, 0.053), (1.98, 0.057), (1.98, 0.06), (1.98, 0.063), (1.98, 0.067), (1.98, 0.07), (1.98, 0.074), (1.98, 0.077), (1.98, 0.081), (1.98, 0.084), (1.98, 0.088), (1.98, 0.092), (1.98, 0.095), (1.98, 0.098), (1.98, 0.101), (1.98, 0.105), (1.98, 0.109), (1.98, 0.112), (1.98, 0.116), (1.98, 0.12), (1.98, 0.123), (1.98, 0.127), (1.98, 0.131), (1.98, 0.134), (1.98, 0.138), (1.98, 0.142), (1.98, 0.146), (1.98, 0.149), (1.98, 0.153), (1.98, 0.157), (1.98, 0.16), (1.98, 0.164), (1.98, 0.167), (1.98, 0.171), (1.98, 0.175), (1.98, 0.178), (1.98, 0.182), (1.98, 0.186), (1.98, 0.189), (1.98, 0.193), (1.98, 0.197), (1.98, 0.2), (1.98, 0.204), (1.98, 0.208), (1.98, 0.211), (1.98, 0.215), (1.98, 0.219), (1.98, 0.222), (1.98, 0.226), (1.98, 0.23), (1.98, 0.233), (1.98, 0.237), (1.98, 0.241), (1.98, 0.244), (1.98, 0.248), (1.98, 0.251), (1.98, 0.255), (1.98, 0.259), (1.98, 0.262), (1.98, 0.266), (1.98, 0.27), (1.98, 0.273), (1.98, 0.277), (1.98, 0.281), (1.98, 0.284), (1.98, 0.288), (1.98, 0.291), (1.98, 0.295), (1.98, 0.299), (1.98, 0.303), (1.98, 0.306), (1.98, 0.31), (1.98, 0.313), (1.98, 0.317), (1.98, 0.321), (1.98, 0.324), (1.98, 0.328), (1.98, 0.331), (1.98, 0.335), (1.98, 0.338), (1.98, 0.342), (1.98, 0.345), (1.98, 0.349), (1.98, 0.352), (1.98, 0.356), (1.98, 0.36), (1.98, 0.363))",13
"('i_3_2_3_1_2_FR', 'U1S', 'BFS', False)",1.98,0.006487643000000265,"((1.98, 0.006487643000000265),)",13
"('i_3_2_3_1_2_FR', 'U1S', 'BNB', False)",0.59,0.0029943129999998597,"((0.59, 0.0029943129999998597),)",3
"('i_3_2_3_1_2_FR', 'U1S', 'BNBL', False)",1.98,0.006947085000000186,"((1.98, 0.006947085000000186),)",13
