run,final result,time,result,states
"('i_3_3_4_1_3_MT', 'U1D', 'MCTS', True)",0.31,0.493,"((0.06, 0.001), (0.08, 0.01), (0.08, 0.029), (0.31, 0.034), (0.31, 0.038), (0.31, 0.043), (0.31, 0.047), (0.31, 0.052), (0.31, 0.057), (0.31, 0.061), (0.31, 0.066), (0.31, 0.071), (0.31, 0.076), (0.31, 0.08), (0.31, 0.085), (0.31, 0.09), (0.31, 0.095), (0.31, 0.099), (0.31, 0.104), (0.31, 0.109), (0.31, 0.114), (0.31, 0.119), (0.31, 0.124), (0.31, 0.128), (0.31, 0.133), (0.31, 0.138), (0.31, 0.143), (0.31, 0.147), (0.31, 0.152), (0.31, 0.157), (0.31, 0.162), (0.31, 0.166), (0.31, 0.171), (0.38, 0.176), (0.38, 0.18), (0.38, 0.185), (0.38, 0.19), (0.38, 0.194), (0.38, 0.199), (0.38, 0.204), (0.38, 0.209), (0.38, 0.213), (0.38, 0.218), (0.38, 0.223), (0.31, 0.228), (0.31, 0.232), (0.31, 0.237), (0.31, 0.242), (0.31, 0.247), (0.31, 0.252), (0.31, 0.256), (0.31, 0.261), (0.31, 0.266), (0.31, 0.271), (0.31, 0.275), (0.31, 0.28), (0.31, 0.285), (0.31, 0.29), (0.31, 0.294), (0.31, 0.299), (0.31, 0.304), (0.31, 0.309), (0.31, 0.313), (0.31, 0.318), (0.31, 0.323), (0.31, 0.328), (0.31, 0.332), (0.31, 0.337), (0.31, 0.342), (0.31, 0.346), (0.31, 0.351), (0.31, 0.356), (0.31, 0.361), (0.31, 0.365), (0.31, 0.37), (0.31, 0.375), (0.31, 0.38), (0.31, 0.384), (0.31, 0.389), (0.31, 0.394), (0.31, 0.399), (0.31, 0.403), (0.31, 0.408), (0.31, 0.412), (0.31, 0.417), (0.31, 0.422), (0.31, 0.427), (0.31, 0.432), (0.31, 0.436), (0.31, 0.441), (0.31, 0.446), (0.31, 0.45), (0.31, 0.455), (0.31, 0.459), (0.31, 0.464), (0.31, 0.469), (0.31, 0.474), (0.31, 0.479), (0.31, 0.484), (0.31, 0.488), (0.31, 0.493))",386
"('i_3_3_4_1_3_MT', 'U1S', 'MCTS', True)",0.39,0.54,"((0.06, 0.002), (0.31, 0.024), (0.31, 0.072), (0.38, 0.077), (0.38, 0.082), (0.39, 0.087), (0.39, 0.091), (0.39, 0.096), (0.39, 0.1), (0.39, 0.105), (0.39, 0.11), (0.39, 0.115), (0.39, 0.12), (0.39, 0.125), (0.39, 0.13), (0.39, 0.135), (0.39, 0.139), (0.39, 0.144), (0.39, 0.149), (0.39, 0.154), (0.39, 0.159), (0.39, 0.164), (0.39, 0.169), (0.39, 0.173), (0.39, 0.178), (0.39, 0.182), (0.39, 0.187), (0.39, 0.192), (0.39, 0.197), (0.39, 0.201), (0.39, 0.206), (0.39, 0.211), (0.39, 0.216), (0.39, 0.221), (0.39, 0.225), (0.39, 0.23), (0.39, 0.235), (0.39, 0.24), (0.39, 0.245), (0.39, 0.25), (0.39, 0.254), (0.39, 0.259), (0.39, 0.264), (0.39, 0.269), (0.39, 0.274), (0.39, 0.278), (0.39, 0.283), (0.39, 0.288), (0.39, 0.292), (0.39, 0.297), (0.39, 0.302), (0.39, 0.306), (0.39, 0.311), (0.39, 0.316), (0.39, 0.32), (0.39, 0.325), (0.39, 0.33), (0.39, 0.334), (0.39, 0.339), (0.39, 0.344), (0.39, 0.348), (0.39, 0.353), (0.39, 0.358), (0.39, 0.363), (0.39, 0.368), (0.39, 0.373), (0.39, 0.378), (0.39, 0.383), (0.39, 0.387), (0.39, 0.392), (0.39, 0.397), (0.39, 0.402), (0.39, 0.407), (0.39, 0.411), (0.39, 0.416), (0.39, 0.42), (0.39, 0.425), (0.39, 0.43), (0.39, 0.435), (0.39, 0.439), (0.39, 0.444), (0.39, 0.449), (0.39, 0.454), (0.39, 0.458), (0.39, 0.463), (0.39, 0.468), (0.39, 0.473), (0.39, 0.477), (0.39, 0.482), (0.39, 0.487), (0.39, 0.492), (0.39, 0.497), (0.39, 0.501), (0.39, 0.506), (0.39, 0.511), (0.39, 0.516), (0.39, 0.521), (0.39, 0.526), (0.39, 0.531), (0.39, 0.535), (0.39, 0.54))",386
"('i_3_3_4_1_3_MT', 'U1S', 'BFS', True)",0.39,0.15148615200000015,"((0.39, 0.15148615200000015),)",386
"('i_3_3_4_1_3_MT', 'U1S', 'BNB', True)",0.39,0.0884853539999999,"((0.39, 0.0884853539999999),)",142
"('i_3_3_4_1_3_MT', 'U1S', 'BNBL', True)",0.39,0.10489018799999972,"((0.39, 0.10489018799999972),)",248
"('i_3_3_4_1_3_MT', 'U1D', 'MCTS', False)",0.39,0.43,"((0.06, 0.0), (0.38, 0.008), (0.38, 0.012), (0.14, 0.017), (0.14, 0.021), (0.14, 0.025), (0.14, 0.029), (0.14, 0.034), (0.14, 0.038), (0.39, 0.042), (0.39, 0.046), (0.39, 0.05), (0.39, 0.054), (0.39, 0.058), (0.39, 0.062), (0.39, 0.066), (0.39, 0.07), (0.39, 0.075), (0.39, 0.079), (0.39, 0.083), (0.39, 0.088), (0.39, 0.092), (0.39, 0.096), (0.39, 0.101), (0.39, 0.105), (0.39, 0.109), (0.39, 0.113), (0.39, 0.118), (0.39, 0.122), (0.39, 0.127), (0.39, 0.131), (0.39, 0.135), (0.39, 0.14), (0.39, 0.144), (0.39, 0.149), (0.39, 0.153), (0.39, 0.157), (0.39, 0.161), (0.39, 0.166), (0.39, 0.17), (0.39, 0.174), (0.39, 0.179), (0.39, 0.183), (0.39, 0.187), (0.39, 0.191), (0.39, 0.196), (0.39, 0.2), (0.39, 0.204), (0.39, 0.208), (0.39, 0.212), (0.39, 0.217), (0.39, 0.221), (0.39, 0.225), (0.39, 0.23), (0.39, 0.234), (0.39, 0.238), (0.39, 0.243), (0.39, 0.247), (0.39, 0.251), (0.39, 0.255), (0.39, 0.26), (0.39, 0.264), (0.39, 0.268), (0.39, 0.272), (0.39, 0.277), (0.39, 0.281), (0.39, 0.285), (0.39, 0.289), (0.39, 0.293), (0.39, 0.298), (0.39, 0.302), (0.39, 0.306), (0.39, 0.31), (0.39, 0.314), (0.39, 0.318), (0.39, 0.323), (0.39, 0.327), (0.39, 0.331), (0.39, 0.335), (0.39, 0.34), (0.39, 0.344), (0.39, 0.349), (0.39, 0.353), (0.39, 0.357), (0.39, 0.361), (0.39, 0.366), (0.39, 0.37), (0.39, 0.374), (0.39, 0.378), (0.39, 0.383), (0.39, 0.387), (0.39, 0.391), (0.39, 0.396), (0.39, 0.4), (0.39, 0.404), (0.39, 0.408), (0.39, 0.412), (0.39, 0.417), (0.39, 0.421), (0.39, 0.426), (0.39, 0.43))",56
"('i_3_3_4_1_3_MT', 'U1S', 'MCTS', False)",0.39,0.464,"((0.06, 0.002), (0.39, 0.02), (0.39, 0.025), (0.39, 0.029), (0.39, 0.033), (0.39, 0.038), (0.39, 0.042), (0.39, 0.047), (0.39, 0.051), (0.39, 0.055), (0.39, 0.059), (0.39, 0.064), (0.39, 0.069), (0.39, 0.073), (0.39, 0.078), (0.39, 0.082), (0.39, 0.087), (0.39, 0.091), (0.39, 0.095), (0.39, 0.1), (0.39, 0.104), (0.39, 0.108), (0.39, 0.112), (0.39, 0.117), (0.39, 0.121), (0.39, 0.126), (0.39, 0.13), (0.39, 0.135), (0.39, 0.139), (0.39, 0.144), (0.39, 0.148), (0.39, 0.153), (0.39, 0.158), (0.39, 0.162), (0.39, 0.167), (0.39, 0.171), (0.39, 0.175), (0.39, 0.18), (0.39, 0.184), (0.39, 0.188), (0.39, 0.193), (0.39, 0.197), (0.39, 0.202), (0.39, 0.206), (0.39, 0.211), (0.39, 0.215), (0.39, 0.22), (0.39, 0.224), (0.39, 0.229), (0.39, 0.234), (0.39, 0.238), (0.39, 0.243), (0.39, 0.248), (0.39, 0.252), (0.39, 0.257), (0.39, 0.262), (0.39, 0.266), (0.39, 0.271), (0.39, 0.275), (0.39, 0.28), (0.39, 0.284), (0.39, 0.288), (0.39, 0.294), (0.39, 0.298), (0.39, 0.302), (0.39, 0.306), (0.39, 0.311), (0.39, 0.316), (0.39, 0.32), (0.39, 0.325), (0.39, 0.33), (0.39, 0.335), (0.39, 0.339), (0.39, 0.344), (0.39, 0.348), (0.39, 0.352), (0.39, 0.356), (0.39, 0.361), (0.39, 0.366), (0.39, 0.37), (0.39, 0.374), (0.39, 0.379), (0.39, 0.383), (0.39, 0.388), (0.39, 0.392), (0.39, 0.396), (0.39, 0.401), (0.39, 0.406), (0.39, 0.41), (0.39, 0.415), (0.39, 0.419), (0.39, 0.424), (0.39, 0.428), (0.39, 0.433), (0.39, 0.437), (0.39, 0.442), (0.39, 0.446), (0.39, 0.451), (0.39, 0.455), (0.39, 0.459), (0.39, 0.464))",56
"('i_3_3_4_1_3_MT', 'U1S', 'BFS', False)",0.39,0.03213990899999963,"((0.39, 0.03213990899999963),)",56
"('i_3_3_4_1_3_MT', 'U1S', 'BNB', False)",0.39,0.027981357000000262,"((0.39, 0.027981357000000262),)",35
"('i_3_3_4_1_3_MT', 'U1S', 'BNBL', False)",0.39,0.024491306999999907,"((0.39, 0.024491306999999907),)",41
