run,final result,time,result,states
"('i_3_2_4_2_2_FR', 'U1D', 'MCTS', True)",1.39,0.817,"((0.28, 0.002), (0.7, 0.05), (1.26, 0.105), (0.7, 0.111), (0.7, 0.118), (0.7, 0.124), (0.7, 0.131), (0.7, 0.137), (1.26, 0.143), (1.26, 0.15), (1.26, 0.156), (1.26, 0.162), (1.26, 0.168), (1.26, 0.175), (1.26, 0.181), (1.26, 0.187), (1.26, 0.194), (1.26, 0.2), (1.26, 0.207), (1.26, 0.213), (1.26, 0.219), (1.26, 0.226), (1.26, 0.232), (1.26, 0.238), (1.26, 0.244), (1.26, 0.251), (1.26, 0.257), (1.26, 0.264), (1.26, 0.27), (1.26, 0.277), (1.26, 0.284), (1.26, 0.291), (1.26, 0.298), (1.26, 0.305), (1.26, 0.312), (1.26, 0.319), (1.26, 0.326), (1.26, 0.334), (1.26, 0.341), (1.26, 0.349), (1.26, 0.356), (1.26, 0.364), (1.26, 0.371), (1.26, 0.378), (1.26, 0.385), (1.26, 0.393), (1.26, 0.4), (1.26, 0.408), (1.26, 0.415), (1.39, 0.423), (1.39, 0.43), (1.39, 0.438), (1.39, 0.446), (1.39, 0.454), (1.39, 0.462), (1.39, 0.47), (1.39, 0.478), (1.39, 0.486), (1.39, 0.493), (1.39, 0.501), (1.39, 0.509), (1.39, 0.517), (1.39, 0.524), (1.39, 0.532), (1.39, 0.539), (1.39, 0.547), (1.39, 0.554), (1.39, 0.562), (1.39, 0.569), (1.39, 0.577), (1.39, 0.584), (1.39, 0.592), (1.39, 0.6), (1.39, 0.607), (1.39, 0.615), (1.39, 0.623), (1.39, 0.631), (1.39, 0.639), (1.39, 0.647), (1.39, 0.654), (1.39, 0.662), (1.39, 0.669), (1.39, 0.677), (1.39, 0.685), (1.39, 0.693), (1.39, 0.701), (1.39, 0.709), (1.39, 0.716), (1.39, 0.724), (1.39, 0.732), (1.39, 0.739), (1.39, 0.747), (1.39, 0.755), (1.39, 0.763), (1.39, 0.771), (1.39, 0.778), (1.39, 0.786), (1.39, 0.794), (1.39, 0.802), (1.39, 0.809), (1.39, 0.817))",1636
"('i_3_2_4_2_2_FR', 'U1S', 'MCTS', True)",1.49,1.163,"((0.28, 0.009), (0.7, 0.192), (0.7, 0.414), (1.39, 0.42), (1.39, 0.426), (1.39, 0.433), (1.39, 0.439), (1.39, 0.445), (1.39, 0.452), (1.39, 0.458), (1.39, 0.464), (1.39, 0.471), (1.39, 0.477), (1.39, 0.483), (1.39, 0.49), (1.39, 0.496), (1.49, 0.503), (1.49, 0.51), (1.49, 0.516), (1.49, 0.523), (1.49, 0.529), (1.49, 0.536), (1.49, 0.542), (1.49, 0.548), (1.49, 0.555), (1.49, 0.561), (1.49, 0.567), (1.49, 0.573), (1.49, 0.58), (1.49, 0.588), (1.49, 0.595), (1.49, 0.602), (1.49, 0.609), (1.49, 0.616), (1.49, 0.623), (1.49, 0.631), (1.49, 0.639), (1.49, 0.647), (1.49, 0.655), (1.49, 0.663), (1.49, 0.671), (1.49, 0.679), (1.49, 0.687), (1.49, 0.695), (1.49, 0.703), (1.49, 0.711), (1.49, 0.719), (1.49, 0.728), (1.49, 0.736), (1.49, 0.744), (1.49, 0.752), (1.49, 0.761), (1.49, 0.769), (1.49, 0.777), (1.49, 0.785), (1.49, 0.794), (1.49, 0.802), (1.49, 0.81), (1.49, 0.818), (1.49, 0.826), (1.49, 0.834), (1.49, 0.842), (1.49, 0.85), (1.49, 0.858), (1.49, 0.866), (1.49, 0.874), (1.49, 0.882), (1.49, 0.891), (1.49, 0.899), (1.49, 0.907), (1.49, 0.916), (1.49, 0.924), (1.49, 0.932), (1.49, 0.94), (1.49, 0.948), (1.49, 0.957), (1.49, 0.965), (1.49, 0.973), (1.49, 0.981), (1.49, 0.989), (1.49, 0.998), (1.49, 1.006), (1.49, 1.014), (1.49, 1.023), (1.49, 1.031), (1.49, 1.039), (1.49, 1.048), (1.49, 1.057), (1.49, 1.065), (1.49, 1.073), (1.49, 1.081), (1.49, 1.089), (1.49, 1.097), (1.49, 1.105), (1.49, 1.113), (1.49, 1.121), (1.49, 1.129), (1.49, 1.138), (1.49, 1.146), (1.49, 1.154), (1.49, 1.163))",1636
"('i_3_2_4_2_2_FR', 'U1S', 'BFS', True)",1.49,1.0071007209999996,"((1.49, 1.0071007209999996),)",1636
"('i_3_2_4_2_2_FR', 'U1S', 'BNB', True)",1.49,0.6584178169999992,"((1.49, 0.6584178169999992),)",916
"('i_3_2_4_2_2_FR', 'U1S', 'BNBL', True)",1.49,0.9411519290000001,"((1.49, 0.9411519290000001),)",1492
"('i_3_2_4_2_2_FR', 'U1D', 'MCTS', False)",1.39,0.552,"((0.28, 0.001), (1.26, 0.012), (1.26, 0.017), (1.26, 0.022), (0.92, 0.027), (0.92, 0.033), (0.92, 0.039), (0.92, 0.045), (0.92, 0.051), (0.92, 0.056), (0.92, 0.061), (0.92, 0.067), (0.92, 0.072), (1.26, 0.079), (1.39, 0.084), (1.39, 0.089), (1.39, 0.094), (1.39, 0.1), (1.39, 0.105), (1.39, 0.11), (1.39, 0.116), (1.39, 0.121), (1.39, 0.126), (1.39, 0.132), (1.39, 0.137), (1.39, 0.142), (1.39, 0.148), (1.39, 0.153), (1.39, 0.158), (1.39, 0.163), (1.39, 0.168), (1.39, 0.174), (1.39, 0.179), (1.39, 0.185), (1.39, 0.19), (1.39, 0.196), (1.39, 0.201), (1.39, 0.207), (1.39, 0.212), (1.39, 0.217), (1.39, 0.223), (1.39, 0.228), (1.39, 0.234), (1.39, 0.24), (1.39, 0.245), (1.39, 0.251), (1.39, 0.257), (1.39, 0.262), (1.39, 0.267), (1.39, 0.273), (1.39, 0.279), (1.39, 0.284), (1.39, 0.289), (1.39, 0.294), (1.39, 0.299), (1.39, 0.304), (1.39, 0.311), (1.39, 0.317), (1.39, 0.323), (1.39, 0.328), (1.39, 0.334), (1.39, 0.339), (1.39, 0.344), (1.39, 0.35), (1.39, 0.355), (1.39, 0.36), (1.39, 0.365), (1.39, 0.371), (1.39, 0.377), (1.39, 0.382), (1.39, 0.388), (1.39, 0.394), (1.39, 0.399), (1.39, 0.405), (1.39, 0.41), (1.39, 0.415), (1.39, 0.42), (1.39, 0.426), (1.39, 0.432), (1.39, 0.438), (1.39, 0.444), (1.39, 0.449), (1.39, 0.454), (1.39, 0.46), (1.39, 0.465), (1.39, 0.47), (1.39, 0.475), (1.39, 0.481), (1.39, 0.486), (1.39, 0.492), (1.39, 0.498), (1.39, 0.503), (1.39, 0.508), (1.39, 0.514), (1.39, 0.519), (1.39, 0.525), (1.39, 0.53), (1.39, 0.535), (1.39, 0.541), (1.39, 0.546), (1.39, 0.552))",109
"('i_3_2_4_2_2_FR', 'U1S', 'MCTS', False)",1.49,0.615,"((0.28, 0.004), (1.49, 0.046), (1.49, 0.052), (1.49, 0.057), (1.49, 0.063), (1.49, 0.068), (1.49, 0.074), (1.49, 0.079), (1.49, 0.085), (1.49, 0.091), (1.49, 0.097), (1.49, 0.103), (1.49, 0.108), (1.49, 0.114), (1.49, 0.119), (1.49, 0.125), (1.49, 0.131), (1.49, 0.136), (1.49, 0.142), (1.49, 0.148), (1.49, 0.153), (1.49, 0.159), (1.49, 0.165), (1.49, 0.17), (1.49, 0.176), (1.49, 0.181), (1.49, 0.187), (1.49, 0.193), (1.49, 0.199), (1.49, 0.205), (1.49, 0.211), (1.49, 0.217), (1.49, 0.223), (1.49, 0.229), (1.49, 0.235), (1.49, 0.241), (1.49, 0.247), (1.49, 0.253), (1.49, 0.258), (1.49, 0.264), (1.49, 0.27), (1.49, 0.276), (1.49, 0.282), (1.49, 0.288), (1.49, 0.293), (1.49, 0.298), (1.49, 0.304), (1.49, 0.31), (1.49, 0.316), (1.49, 0.321), (1.49, 0.327), (1.49, 0.333), (1.49, 0.338), (1.49, 0.344), (1.49, 0.349), (1.49, 0.355), (1.49, 0.361), (1.49, 0.366), (1.49, 0.372), (1.49, 0.378), (1.49, 0.384), (1.49, 0.39), (1.49, 0.396), (1.49, 0.401), (1.49, 0.407), (1.49, 0.412), (1.49, 0.418), (1.49, 0.424), (1.49, 0.429), (1.49, 0.435), (1.49, 0.441), (1.49, 0.447), (1.49, 0.453), (1.49, 0.459), (1.49, 0.465), (1.49, 0.47), (1.49, 0.476), (1.49, 0.482), (1.49, 0.487), (1.49, 0.493), (1.49, 0.499), (1.49, 0.505), (1.49, 0.511), (1.49, 0.517), (1.49, 0.523), (1.49, 0.528), (1.49, 0.534), (1.49, 0.54), (1.49, 0.546), (1.49, 0.551), (1.49, 0.557), (1.49, 0.563), (1.49, 0.569), (1.49, 0.575), (1.49, 0.581), (1.49, 0.587), (1.49, 0.592), (1.49, 0.598), (1.49, 0.603), (1.49, 0.61), (1.49, 0.615))",109
"('i_3_2_4_2_2_FR', 'U1S', 'BFS', False)",1.49,0.09035769100000035,"((1.49, 0.09035769100000035),)",109
"('i_3_2_4_2_2_FR', 'U1S', 'BNB', False)",1.49,0.05684362499999995,"((1.49, 0.05684362499999995),)",58
"('i_3_2_4_2_2_FR', 'U1S', 'BNBL', False)",1.49,0.08398333099999977,"((1.49, 0.08398333099999977),)",100
